company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,ABI,primary_SIC_code,SIC6_description,primary_NAICS_code,NAICS8_description,parent_company_ABI,classification,unique_id,parent_company_unique_id
CBL INTERNATIONAL,BANL,CBL International ltd,,,,,,,,,,,,f,a27b5384-40ad-41b9-806e-4a69d21135ee,
CENOVUS ENERGY,CVE,Cenovus Energy Inc,,,,,,,,,,,,f,e355bc08-393d-4237-bce4-49cd443341f1,
CENTERPOINT ENERGY,CNP,CenterPoint Energy Inc,,,,,,,,,,,,f,05b3d43b-8cac-47ab-ad96-cd0d7799391c,
CES ENERGY SOLUTIONS,CEU,CES Energy Solutions Corp,,,,,,,,,,,,f,b67a26fa-0c40-4566-8c06-c0f45ce1b146,
CEZ,CEZ,CEZ a.s,,,,,,,,,,,,f,6a26bab5-a344-4c5f-adc6-d0f394f6c42a,
CGG,CGG,CGG,,,,,,,,,,,,f,597a273e-ff8b-4038-8fc1-5d70432e21ae,
CGN NEW ENERGY HLDGS CORPORATION,1811,中國廣核新能源控股有限公司,,,,,,,,,,,,f,6a8d91ab-289c-4370-a3fb-1f69b6417e86,
CHAMPIONX,CHX,ChampionX Corp,,,,,,,,,,,,f,8136125d-4944-464e-821f-50d5a36afb78,
CHANNEL INFRASTRUCTURE NZ,CHI,Channel Infrastructure NZ Ltd,,,,,,,,,,,,f,0fc1bb67-c535-4a8d-b714-6d42d462e907,
CHENIERE ENERGY,LNG,Cheniere Energy Inc,,,,,,,,,,,,f,6e50323d-3810-40b7-8390-f13b79672fe8,
CHENIERE ENERGY PARTNERS,CQP,Cheniere Energy Partners LP,,,,,,,,,,,,f,aab4f827-b698-419e-b272-36b0bf52dcba,
CHENNAI PTRL,500110,Chennai Petroleum Corp Ltd,,,,,,,,,,,,f,2b5a4cdf-6755-4e2b-8e16-5d3a87f1017c,
CHESAPEAKE ENERGY,CHK,Chesapeake Energy Corp,,,,,,,,,,,,f,6c9afca2-34ba-4543-a453-d388f8c557c9,
CHEVRON,CVX,Chevron Corp,,,,,,,,,,,,f,6d210804-2660-4177-ab09-68f6012682d8,
CHEVRON LUBRICANTS LANKA,LLUB.N0000,Chevron Lubricants Lanka PLC,,,,,,,,,,,,f,37d6db88-2e94-48f2-803d-8e67d205f2c4,
CHINA AVIATION OIL,G92,China Aviation Oil (Singapore) Corp Ltd,,,,,,,,,,,,f,f5d97b66-f18b-46b4-8b5c-de776fd78bb1,
CHINA ENERGY DEV HLDGS,228,中国能源开发控股有限公司,,,,,,,,,,,,f,9502d4a5-d461-4c11-bcd4-ac216baf3ac2,
CHINA ENERGY ENGINEERING,3996,中国能源建设股份有限公司,,,,,,,,,,,,f,833f0144-d637-4c41-8209-c03a9abb2c8e,
CHINA HUARONG ENERGY CORPORATION,1101,China Huarong Energy Co Ltd,,,,,,,,,,,,f,1d619c4e-3d93-4207-803b-57593d6f0f54,
CHINA MERCHANTS ENERGY,601872,招商局能源运输股份有限公司,,,,,,,,,,,,f,0e9734fa-0918-4498-96a4-fa1e4dd8ef22,
CHINA OIL AND GAS GROUP,603,中油燃氣集團有限公司,,,,,,,,,,,,f,c5234f45-a433-42fb-88a6-0095fc0cfca1,
CHINA OIL HBP SCIENCE,2554,华油惠博普科技股份有限公司,,,,,,,,,,,,f,da4f438d-5414-4762-b663-07c284d3e1a5,
CHINA OILFIELD SERVICES,601808,中海油田服务股份有限公司,,,,,,,,,,,,f,bdcca65a-4cee-4a27-b67f-dc80b4bb23ee,
CHINA PETROLEUM,386,中国石油化工股份有限公司,,,,,,,,,,,,f,00355db8-485f-41d6-91ac-0f87972268a2,
CHINA PETROLEUM ENGINEERI,600339,中国石油集团工程股份有限公司,,,,,,,,,,,,f,4b5c5d64-58ef-4994-92d3-91e3d3441728,
CHINA RES POWER HLDGS,836,華潤電力控股有限公司,,,,,,,,,,,,f,c9182b58-5cf4-44c4-a357-fbf120ad5dca,
CHONGQING GAS GROUP CORPORATION,600917,重庆燃气集团股份有限公司,,,,,,,,,,,,f,f1ebd10e-f127-444b-a52c-bc6af91bae30,
CHONGQING THREE GORGES,600116,重庆三峡水利电力(集团)股份有限公司,,,,,,,,,,,,f,18940c55-f9cc-4a65-aacc-c04e0ecdb490,
CHORD ENERGY,CHRD,Chord Energy Corp,,,,,,,,,,,,f,96d85ada-9c04-4a93-9de2-6f7a28713525,
CHUBU ELECTRIC POWER CORPORATION,9502,中部電力株式会社,,,,,,,,,,,,f,f90b23ee-e767-4ebc-83c1-c8f001d23ce5,
CIMC ENRIC HOLDINGS,3899,中集安瑞科控股有限公司,,,,,,,,,,,,f,dc324bc4-6440-4316-9ead-b53b909c1c27,
CITIC RESOURCES HOLDINGS,1205,中信资源控股有限公司,,,,,,,,,,,,f,49da7a9c-3cb1-4a4d-bb87-82a21f7e68aa,
CIVITAS RESOURCES,CIVI,Civitas Resources Inc,,,,,,,,,,,,f,24cfc4ac-56c7-4783-8a39-0ea31c9e9b22,
CKX LANDS,CKX,CKX Lands Inc,,,,,,,,,,,,f,a41b4e4b-7ec3-4f88-83b7-e49803cbd9e7,
CLEAN ENERGY FUELS,CLNE,Clean Energy Fuels Corp,,,,,,,,,,,,f,a4c28d09-d629-410f-8659-ba31d6e4e0fe,
CLP HOLDINGS,2,中電控股有限公司,,,,,,,,,,,,f,82ea590b-5bbc-4f0f-9edd-dc7fa10c0437,
CNOOC ENERGY TECHNOLOGY,600968,中海油能源发展股份有限公司,,,,,,,,,,,,f,3a1ab616-f6ed-46ce-9a24-7133dfa8f555,
CNPC CAPITAL CORPORATION,617,中国石油集团资本股份有限公司,,,,,,,,,,,,f,922ce6ad-77a4-4a13-b664-60e04904a592,
CNX RESOURCES,CNX,CNX Resources Corp,,,,,,,,,,,,f,08d71d52-fb1f-4868-9573-8390f40ee5d7,
COMET RIDGE,COI,Comet Ridge Ltd,,,,,,,,,,,,f,55e7e53f-081b-44f7-aa58-b59ed2f62333,
COMSTOCK RESOURCES,CRK,Comstock Resources Inc,,,,,,,,,,,,f,c296cd57-51e7-412d-a820-0922f7ad091c,
CONDOR ENERGIES,CDR,Condor Energies Inc,,,,,,,,,,,,f,baa2f0b9-bf37-4f2e-a1a2-79eac23f34b8,
CONFIDENCE PETROLEUM,526829,Confidence Petroleum India Ltd,,,,,,,,,,,,f,6070f67f-b5d9-4d68-a86c-bb8add82f82a,
CONOCOPHILLIPS,COP,ConocoPhillips,,,,,,,,,,,,f,74ceaff7-8757-4e1e-80c2-7aabf11e8d4d,
COOL CORPORATION,CLCO,Cool Co Ltd,,,,,,,,,,,,f,bcb85b68-f315-4488-990e-ad5343ca0485,
COOPER ENERGY,COE,Cooper Energy Ltd,,,,,,,,,,,,f,ac741539-9bb1-4a59-9840-f5e3f28bdf3e,
CORE LABORATORIES,CLB,Core Laboratories Inc,,,,,,,,,,,,f,63157c88-de4c-4d59-894e-31dfe8ed3f6f,
COSAN,CSAN3,Cosan SA,,,,,,,,,,,,f,bfa2e048-956f-4413-92cc-31c221628d92,
COSMO ENERGY HOLDINGS,5021,コスモエネルギーホールディングス株式会社,,,,,,,,,,,,f,adb6d712-f9a5-4adf-bf6e-0cb257a0d7d5,
COTERRA ENERGY,CTRA,Coterra Energy Inc,,,,,,,,,,,,f,a1c33bb5-a043-4070-a159-688e7e1a4f81,
CRESCENT ENERGY,CRGY,Crescent Energy Co,,,,,,,,,,,,f,795c02c4-c785-4f26-98e4-7f4509acb860,
CRESCENT POINT ENERGY,CPG,Crescent Point Energy Corp,,,,,,,,,,,,f,22915a43-daa4-4b25-b014-e0e0e3991be1,
CREW ENERGY,CR,Crew Energy Inc,,,,,,,,,,,,f,43149be1-539b-430a-a65f-7e6a100e98e7,
CROSSAMERICA PARTNERS,CAPL,CrossAmerica Partners LP,,,,,,,,,,,,f,05c74faa-f903-4ba5-aa6e-5eb866633c26,
CSI COMPRESSCO,CCLP,CSI Compressco LP,,,,,,,,,,,,f,ec083545-acae-402f-8d4d-8a4cf42689f4,
CVR ENERGY,CVI,CVR Energy Inc,,,,,,,,,,,,f,f42a8a17-96c1-4ba7-98ea-7dcc3cce5d2e,
DAESUNG INDUSTRIAL,128820,대성산업(주),,,,,,,,,,,,f,96a47d0c-81e6-4231-8147-65c354b65f47,
DALIPAL HOLDINGS,1921,達力普控股有限公司,,,,,,,,,,,,f,4a880039-649f-4bc6-8ef7-8766ca1b1a04,
DANA GAS,DANA,دانة غاز,,,,,,,,,,,,f,115ef5d8-e6a9-4a21-b0c4-af13743d8eee,
DATANG INTERNATIONAL,601991,大唐国际发电股份有限公司,,,,,,,,,,,,f,afc1d0b6-4594-4230-abb8-5cef40e18331,
DAWSON GEOPHYSICAL,DWSN,Dawson Geophysical Co,,,,,,,,,,,,f,3ccec78c-3668-4d7a-bb62-ee16a2b18741,
DAYANG ENTERPRISE HLDGS,5141,Dayang Enterprise Holdings Bhd,,,,,,,,,,,,f,8f5ab0d5-c022-4c5f-86ef-b99a20c2d98c,
DCC,DCC,DCC PLC,,,,,,,,,,,,f,5b4e873a-7993-48f0-ab92-0c7f2c176f6c,
DEEP INDUSTRIES,543288,Deep Industries Ltd,,,,,,,,,,,,f,44ee8ef0-2de0-46ee-8bab-9d49d208ffce,
DEEP VALUE DRILLER,DVD,Deep Value Driller AS,,,,,,,,,,,,f,63fa0e33-a236-44ca-a5bf-722db08cb783,
DELEK GROUP,DLEKG,קבוצת דלק בע''מ,,,,,,,,,,,,f,42a25cba-306a-44cc-b5af-6ac45caa7f82,
DELEK LOGISTICS PARTNERS,DKL,Delek Logistics Partners LP,,,,,,,,,,,,f,76d0950c-0b11-4908-9eca-0d5417eaeefb,
DELEK US HLDGS,DK,Delek US Holdings Inc,,,,,,,,,,,,f,0e94afd8-4eb8-42aa-a2aa-5e9a7cd09564,
DELEUM,5132,Deleum Bhd,,,,,,,,,,,,f,dd8f9f96-96d0-4790-951d-94fe1a585810,
DESERT MOUNTAIN ENERGY,DME,Desert Mountain Energy Corp,,,,,,,,,,,,f,f44fc3e8-7b7a-4dcc-a1e3-44905043c837,
DEUTSCHE ROHSTOFF,DR0,Deutsche Rohstoff AG,,,,,,,,,,,,f,a2ecc588-3c4a-450d-b0c8-46cd9056363c,
DEVON ENERGY,DVN,Devon Energy Corp,,,,,,,,,,,,f,fac73497-3edb-4f37-9fb5-06d9dbb5a088,
DHT HOLDINGS,DHT,DHT Holdings Inc,,,,,,,,,,,,f,ecd57836-8759-4eb7-92d3-5df343d91913,
DIALOG GR,7277,Dialog Group Bhd,,,,,,,,,,,,f,49d7fbfa-01ad-432f-9c32-608425e491e9,
DIAMOND OFFSHORE DRILLING,DO,Diamond Offshore Drilling Inc,,,,,,,,,,,,f,82a668d8-8912-4d52-a06b-4d56794d2807,
DIAMONDBACK ENERGY,FANG,Diamondback Energy Inc,,,,,,,,,,,,f,b6f58eee-8609-4e67-870d-bf5b81d34001,
DIVERSIFIED ENERGY,DEC,Diversified Energy Co PLC,,,,,,,,,,,,f,b60e133d-2e57-4f4d-b799-4b37b221d7fd,
DMC GLB,BOOM,DMC Global Inc,,,,,,,,,,,,f,0a887a5a-7921-47b2-a49e-71ab83abf746,
DNO,DNO,DNO ASA,,,,,,,,,,,,f,038b408b-0eb6-451a-a089-86a5e94b4494,
DOMINION ENERGY,D,Dominion Energy Inc,,,,,,,,,,,,f,8be55872-5bdd-4760-a6ee-6cd573079829,
DOR ALON ENERGY,DRAL,"דור אלון אנרגיה בישראל בע""מ",,,,,,,,,,,,f,1e272c58-7070-444a-8170-5345954cb6bc,
DORCHESTER MINERALS,DMLP,Dorchester Minerals LP,,,,,,,,,,,,f,c2efbdad-7077-4631-9382-e5b91a3ac7d7,
DORIAN LPG,LPG,Dorian LPG Ltd,,,,,,,,,,,,f,39915459-49a0-4d65-a308-19485caccc9c,
DOW,DOW,Dow Inc,,,,,,,,,,,,f,b3b18e4a-d997-4e48-ae5a-435ba0ee62de,
DRAX GROUP,DRX,Drax Group PLC,,,,,,,,,,,,f,2ab30ffa-4ffd-4d3e-aea2-5b3abfa7fb3e,
DRIL-QUIP,DRQ,Dril-Quip Inc,,,,,,,,,,,,f,bb3dad20-92b9-41c9-9029-e8a1df7c8ec0,
DRILLING TOOLS INTL,DTI,Drilling Tools International Corp,,,,,,,,,,,,f,15b3d040-7fed-41da-a036-9443b94f23ee,
DT MIDSTREAM,DTM,DT Midstream Inc,,,,,,,,,,,,f,4e60e250-fa59-4d5c-a745-04d2da58aaa1,
DUBAI ELECTRICITY & WATER,DEWA,هيئة كهرباء ومياه دبي ش.م.ع,,,,,,,,,,,,f,5836fd92-1dfd-4b9f-ad48-dbf23b1b1025,
DUKE ENERGY,DUK,Duke Energy Corp,,,,,,,,,,,,f,a4cd1642-5d45-4ae2-8173-b4366b46ed73,
DYNAGAS LNG PARTNERS,DLNG,Dynagas LNG Partners LP,,,,,,,,,,,,f,109b36d6-2761-4c8b-9bf9-17846ea1a8fa,
E.ON,EOAN,E.ON SE,,,,,,,,,,,,f,52550e4d-b866-470d-b2bb-75e212d243ec,
