Committee name,Registration number,Party,Office sought,District,Registration date,Termination date,Incumbent,Candidate,DistrictKey,OfficeKey
"Burkart, Kevin House Committee",17707,DFL,House,55B,2014-02-05 08:59:00.000,,0,"Burkart, Kevin",55B,House
"Baker, David (Dave) House Committee",17700,RPM,House,16B,2014-01-29 08:40:00.000,,1,"Baker, David (Dave)",16B,House
"Noor, Mohamud House Committee",17693,DFL,House,60B,2014-01-10 13:47:00.000,,1,"Noor, Mohamud",60B,House
"Bennett, Peggy House Committee",17686,RPM,House,23A,2013-12-21 08:46:00.000,,1,"Bennett, Peggy",23A,House
"Pinto, David P House Committee",17675,DFL,House,64B,2013-12-09 15:10:00.000,,1,"Pinto, David P",64B,House
"Youakim, Cheryl House Committee",17672,DFL,House,46B,2013-12-05 14:23:00.000,,1,"Youakim, Cheryl",46B,House
"Gunderson, Heidi Ann House Committee",17664,RPM,House,36B,2013-11-18 09:25:00.000,,0,"Gunderson, Heidi Ann",36B,House
"Simon, Steve Sec of State Committee",17653,DFL,Secretary of State,,2013-08-09 08:29:00.000,,1,"Simon, Steve",,SS
"Pierson, Nels T III House Committee",17651,RPM,House,26B,2013-07-30 08:52:00.000,,0,"Pierson, Nels T, III",26B,House
"Courrier, Robin D House Committee",17636,DFL,House,19A,2013-01-10 16:18:00.000,,0,"Courrier, Robin D",19A,House
"Humphrey, Robert Senate Committee",17579,DFL,Senate,67,2012-06-19 17:46:00.000,,0,"Humphrey, Robert",67,Senate
"Neuman, Holly House Committee",17590,DFL,House,30A,2012-06-19 09:31:00.000,,0,"Neuman, Holly",30A,House
"Palmer, Laura House Committee",17583,RPM,House,41B,2012-06-18 18:12:00.000,,0,"Palmer, Laura",41B,House
"Shimek, Sharon G House Committee",17558,DFL,House,30B,2012-06-14 16:27:00.000,,0,"Shimek, Sharon G",30B,House
"Blum, Joseph (Joe) M House Committee",17550,RPM,House,52A,2012-06-08 16:06:00.000,,0,"Blum, Joseph (Joe) M",52A,House
"Freiberg, Mike House Committee",17532,DFL,House,43B,2012-06-05 09:09:00.000,,1,"Freiberg, Mike",43B,House
"Pratt, Eric Senate Committee",17520,RPM,Senate,54,2012-05-29 11:27:00.000,,1,"Pratt, Eric",54,Senate
"Kresha, Ronald House Committee",17500,RPM,House,10A,2012-05-03 15:34:00.000,,1,"Kresha, Ronald",10A,House
"Hawj, Foung Senate Committee",17481,DFL,Senate,67,2012-04-23 16:20:00.000,,1,"Hawj, Foung",67,Senate
"Albright, Tony House Committee",17468,RPM,House,55B,2012-04-11 11:49:00.000,,0,"Albright, Tony",55B,House
"Kent, Susan Senate Committee",17443,DFL,Senate,47,2012-03-27 16:14:00.000,2023-09-25 00:00:00.000,0,"Kent, Susan",47,Senate
"Hillebregt, Andy House Committee",17434,DFL,House,35A,2012-03-21 16:30:00.000,,0,"Hillebregt, Andy",35A,House
"Dudley, Michael J Senate Committee",17423,RPM,Senate,20,2012-03-19 11:39:00.000,,0,"Dudley, Michael J",20,Senate
"Petersburg, John House Committee",17417,RPM,House,19B,2012-03-16 10:07:00.000,,1,"Petersburg, John",19B,House
"Bernardy, Connie House Committee",17415,DFL,House,39B,2012-03-16 09:30:00.000,,0,"Bernardy, Connie",39B,House
"Koenen, Lyle J Senate Committee",17407,DFL,Senate,17,2012-03-15 14:19:00.000,,0,"Koenen, Lyle J",17,Senate
"Hertaus, Jerome Allan (Jerry) House Committee",17409,RPM,House,37A,2012-03-14 11:40:00.000,,0,"Hertaus, Jerome Allan (Jerry)",37A,House
"Weber, Bill Senate Committee",17404,RPM,Senate,21,2012-03-14 11:30:00.000,,1,"Weber, Bill",21,Senate
"Johnson, Brian L House Committee",17398,RPM,House,28A,2012-03-12 16:18:00.000,,1,"Johnson, Brian L",28A,House
"Wiklund, Melissa Halvorson Senate Committee",17393,DFL,Senate,51,2012-03-09 12:36:00.000,,1,"Wiklund, Melissa Halvorson",51,Senate
"Pugh, Cynthia (Cindy) L House Committee",17388,RPM,House,33B,2012-03-08 12:33:00.000,,0,"Pugh, Cynthia (Cindy) L",33B,House
"Miller, Tim A House Committee",17386,RPM,House,17A,2012-03-08 12:21:00.000,,0,"Miller, Tim A",17A,House
"Westrom, Torrey N Senate Committee",17373,RPM,Senate,12,2012-03-02 12:21:00.000,,1,"Westrom, Torrey N",12,Senate
"Ruud, Carrie Senate Committee",17367,RPM,Senate,10,2012-02-29 10:58:00.000,,0,"Ruud, Carrie",10,Senate
"Anderson, Bruce D Senate Committee",17362,RPM,Senate,29,2012-02-28 15:38:00.000,,1,"Anderson, Bruce D",29,Senate
"Fischer, Peter M House Committee",17360,DFL,House,44A,2012-02-27 11:48:00.000,,1,"Fischer, Peter M",44A,House
"O'Neill, Marion Olivia House Committee",17357,RPM,House,29B,2012-02-24 15:31:00.000,,1,"O'Neill, Marion Olivia",29B,House
"Schultz, John Senate Committee",17344,DFL,Senate,12,2012-01-27 16:29:00.000,,0,"Schultz, John",12,Senate
"Younk, David House Committee",17333,DFL,House,58A,2012-01-23 08:43:00.000,,0,"Younk, David",58A,House
"Roulet, Chuck House Committee",17331,RPM,House,32B,2012-01-13 15:55:00.000,,0,"Roulet, Chuck",32B,House
"Hoffman, John A Senate Committee",17319,DFL,Senate,34,2011-11-28 16:22:00.000,,1,"Hoffman, John A",34,Senate
"Champion, Bobby Joe Senate Committee",17316,DFL,Senate,59,2011-11-18 09:33:00.000,,1,"Champion, Bobby Joe",59,Senate
"Dziedzic, Kari (Karen) Senate Committee",17310,DFL,Senate,60,2011-11-07 10:47:00.000,,1,"Dziedzic, Kari (Karen)",60,Senate
"Archer, Tony Mark House Committee",17305,DFL,House,28B,2011-11-02 14:48:00.000,,0,"Archer, Tony Mark",28B,House
"Matthews, Edward (Ed) T Dist Court Committee",17214,N/A,District Court,2-16,2010-06-22 11:25:00.000,,0,"Matthews, Edward (Ed) T",2-16,DC
"Silvers, Travis House Committee",17203,RPM,House,7B,2010-06-16 11:52:00.000,,0,"Silvers, Travis",7B,House
"Mazzotta, Gary J House Committee",17201,RPM,House,59B,2010-06-16 11:39:00.000,,0,"Mazzotta, Gary J",59B,House
"Thorson, Mark House Committee",17190,DFL,House,4A,2010-06-15 11:26:00.000,,0,"Thorson, Mark",4A,House
"Biros, Tim Senate Committee",17176,IPMN,Senate,34,2010-06-11 16:30:00.000,,0,"Biros, Tim",34,Senate
"Schomacker, Joe House Committee",17183,RPM,House,21A,2010-06-11 16:26:00.000,,1,"Schomacker, Joe",21A,House
"McDonald, Joseph (Joe) House Committee",17167,RPM,House,29A,2010-06-09 15:34:00.000,,1,"McDonald, Joseph (Joe)",29A,House
"Backer, Jay House Committee",17149,RPM,House,20A,2010-05-26 16:24:00.000,,0,"Backer, Jay",20A,House
"Bakk, Thomas (Tom) M Senate Committee",17140,DFL,Senate,3,2010-05-21 16:02:00.000,,0,"Bakk, Thomas M",3,Senate
"Kiel, Debra (Deb) L House Committee",17129,RPM,House,1B,2010-05-13 16:17:00.000,,1,"Kiel, Debra (Deb) L",1B,House
"Daudt, Kurt House Committee",17124,RPM,House,27B,2010-05-11 16:13:00.000,,1,"Daudt, Kurt",27B,House
"Dahms, Gary H Senate Committee",17117,RPM,Senate,15,2010-05-05 13:55:00.000,,1,"Dahms, Gary H",15,Senate
"Nelson, Carla J Senate Committee",17105,RPM,Senate,24,2010-04-23 14:04:00.000,,1,"Nelson, Carla J",24,Senate
"Quam, Duane R Jr House Committee",17093,RPM,House,24A,2010-04-09 16:31:00.000,,1,"Quam, Duane R, Jr",24A,House
"Vickerman, Kevin B Senate Committee",17091,DFL,Senate,22,2010-04-05 15:11:00.000,,0,"Vickerman, Kevin B",22,Senate
"Swedzinski, Chris House Committee",17075,RPM,House,15A,2010-03-26 10:49:00.000,,1,"Swedzinski, Chris",15A,House
"Osmek, David Senate Committee",17040,RPM,Senate,17,2010-02-19 15:59:00.000,,0,"Osmek, David",17,Senate
"Moran, Rena L House Committee",17039,DFL,House,65A,2010-02-19 14:22:00.000,,0,"Moran, Rena L",65A,House
