company_name,stock_symbol,legal_name,address,city,state,zipcode,area_code,primary_SIC_code,SIC6_description,SIC_code,primary_NAICS_code,NAICS8_description,parent_company_name,parent_company_ABI,classification,fossil_fuel_primary,clean_energy_primary,fossil_fuel_secondary,clean_energy_secondary,unique_id
Cheniere Energy Partners,CQP,Cheniere Energy Partners LP,,,,,,,,,,,,,f,,,,,2fe14f2f-8075-46d2-b629-59cde94b750b
Chennai Ptrl,500110,Chennai Petroleum Corp Ltd,,,,,,,,,,,,,f,,,,,e56d55ee-f2b3-4710-9d0b-0e94de9999e5
Chesapeake Energy,CHK,Chesapeake Energy Corp,,,,,,,,,,,,,f,,,,,2017464b-1605-4086-8d82-637cb29649f0
Chevron,CVX,Chevron Corp,,,,,,,,,,,,,f,,,,,27b44a2c-82a6-4c1c-a65f-8d541279c7b5
Chevron Lubricants Lanka,LLUB.N0000,Chevron Lubricants Lanka PLC,,,,,,,,,,,,,f,,,,,c31880ed-783a-40fe-8ce3-26877f940db8
China Aviation Oil,G92,China Aviation Oil (Singapore) Corp Ltd,,,,,,,,,,,,,f,,,,,afdaddbe-01f8-4ad5-a302-ff966f38abeb
China Energy Dev Hldgs,228,中国能源开发控股有限公司,,,,,,,,,,,,,f,,,,,6c552cac-c98e-48ed-a785-b900c7c36325
China Energy Engineering,3996,中国能源建设股份有限公司,,,,,,,,,,,,,f,,,,,f8a354cb-2010-4082-bc14-b6eaa59c8f86
China Huarong Energy Co,1101,China Huarong Energy Co Ltd,,,,,,,,,,,,,f,,,,,60e13eb9-3cbf-45b7-b9d0-29e9635f277e
China Merchants Energy,601872,招商局能源运输股份有限公司,,,,,,,,,,,,,f,,,,,8d7df2c2-ee89-4330-8397-556660e4d2b4
China Oil And Gas Group,603,中油燃氣集團有限公司,,,,,,,,,,,,,f,,,,,41f0f6e7-1c55-4062-8787-16b60c914650
China Oil HBP Science,2554,华油惠博普科技股份有限公司,,,,,,,,,,,,,f,,,,,238f3a17-3de4-4ecb-b5b0-f1ebf177bed4
China Oilfield Services,601808,中海油田服务股份有限公司,,,,,,,,,,,,,f,,,,,868b4dbb-ac01-4a50-9bcd-af94122532da
China Petroleum,386,中国石油化工股份有限公司,,,,,,,,,,,,,f,,,,,10996e86-12a6-4466-a664-1d868e82305f
China Petroleum Engineeri,600339,中国石油集团工程股份有限公司,,,,,,,,,,,,,f,,,,,2bb4b4af-7ccb-4f93-a6f1-0b171c0b2b85
China Res Power Hldgs,836,華潤電力控股有限公司,,,,,,,,,,,,,f,,,,,011bd0e4-8d86-4d38-94ea-3f08a6cbd33a
Chongqing Gas Group Corp,600917,重庆燃气集团股份有限公司,,,,,,,,,,,,,f,,,,,036dacd9-bd92-4aaa-8139-6abed4273f4b
Chongqing Three Gorges,600116,重庆三峡水利电力(集团)股份有限公司,,,,,,,,,,,,,f,,,,,37e3c893-4c14-4e6f-9bcc-69a78b6494e9
Chord Energy,CHRD,Chord Energy Corp,,,,,,,,,,,,,f,,,,,07de5d7d-2c21-4355-975c-b5e850730d63
Chubu Electric Power Co,9502,中部電力株式会社,,,,,,,,,,,,,f,,,,,f1f900a2-3994-4b2c-afb3-529b8ec92dfe
CIMC Enric Holdings,3899,中集安瑞科控股有限公司,,,,,,,,,,,,,f,,,,,a658b9ed-57df-4230-9e9a-ad1890c8f1c6
CITIC Resources Holdings,1205,中信资源控股有限公司,,,,,,,,,,,,,f,,,,,9449633a-a1d4-40f9-bcbc-cbf0684cffae
Civitas Resources,CIVI,Civitas Resources Inc,,,,,,,,,,,,,f,,,,,f7a9ed36-e366-4805-9545-71e027296a96
CKX Lands,CKX,CKX Lands Inc,,,,,,,,,,,,,f,,,,,df40fb21-2965-431d-9537-9099d2504b72
Clean Energy Fuels,CLNE,Clean Energy Fuels Corp,,,,,,,,,,,,,f,,,,,099c49d2-b042-49d5-9b4b-44aa4bfaa225
CLP Holdings,2,中電控股有限公司,,,,,,,,,,,,,f,,,,,420f575f-b51f-463f-ad2b-de0718f86a62
CNOOC Energy Technology,600968,中海油能源发展股份有限公司,,,,,,,,,,,,,f,,,,,57cd28ab-87a0-4e3a-85b4-7a6073a1d531
CNPC Capital Co,617,中国石油集团资本股份有限公司,,,,,,,,,,,,,f,,,,,2480df25-fa09-43ae-809a-d692f175af5b
CNX Resources,CNX,CNX Resources Corp,,,,,,,,,,,,,f,,,,,c41faa1b-69c7-4f9c-9db2-42d546880d0c
Comet Ridge,COI,Comet Ridge Ltd,,,,,,,,,,,,,f,,,,,4aadbe02-4ab5-4082-81a1-6198e908666a
Comstock Resources,CRK,Comstock Resources Inc,,,,,,,,,,,,,f,,,,,f11c6574-c90d-4058-9c6a-a04f0f0540f8
Condor Energies,CDR,Condor Energies Inc,,,,,,,,,,,,,f,,,,,e71d98b7-3770-4e38-92b5-65d507f1dda9
Confidence Petroleum,526829,Confidence Petroleum India Ltd,,,,,,,,,,,,,f,,,,,2d7a69ec-d41a-4552-8a7a-539767d71bb2
ConocoPhillips,COP,ConocoPhillips,,,,,,,,,,,,,f,,,,,c5327892-37cf-4c90-91af-177e76999806
Cool Co,CLCO,Cool Co Ltd,,,,,,,,,,,,,f,,,,,92a06ea9-13c5-4e25-aa5b-5d4a5b839ab4
Cooper Energy,COE,Cooper Energy Ltd,,,,,,,,,,,,,f,,,,,b4de0e5a-57e8-4478-b3d3-3263313173b3
Core Laboratories,CLB,Core Laboratories Inc,,,,,,,,,,,,,f,,,,,32fe85ea-4112-4260-abf1-0ca682630314
Cosan,CSAN3,Cosan SA,,,,,,,,,,,,,f,,,,,f37f48b2-4d9b-48f0-965d-7537228786ed
Cosmo Energy Holdings,5021,コスモエネルギーホールディングス株式会社,,,,,,,,,,,,,f,,,,,e0d1112c-ffc4-441a-8217-e2a200770864
Coterra Energy,CTRA,Coterra Energy Inc,,,,,,,,,,,,,f,,,,,08ab3ba8-0693-4d0e-a0d1-c6326fd291ce
Crescent Energy,CRGY,Crescent Energy Co,,,,,,,,,,,,,f,,,,,072b19c1-74d3-4aaa-bd2b-ebeecedc31eb
Crescent Point Energy,CPG,Crescent Point Energy Corp,,,,,,,,,,,,,f,,,,,52084746-0a5e-44a6-a7db-8c8529889e41
Crew Energy,CR,Crew Energy Inc,,,,,,,,,,,,,f,,,,,cc266ebd-5df3-4599-9072-7730f6e90e55
CrossAmerica Partners,CAPL,CrossAmerica Partners LP,,,,,,,,,,,,,f,,,,,0644a838-0883-497d-940e-31ff0a43403d
CSI Compressco,CCLP,CSI Compressco LP,,,,,,,,,,,,,f,,,,,ca42e591-9b31-4609-a35f-220db993dd02
CVR Energy,CVI,CVR Energy Inc,,,,,,,,,,,,,f,,,,,ab551552-4ebd-417b-9f7c-be46f63cac65
Daesung Industrial,128820,대성산업(주),,,,,,,,,,,,,f,,,,,f2d71e59-5c80-4d2c-be39-483480fedf94
Dalipal Holdings,1921,達力普控股有限公司,,,,,,,,,,,,,f,,,,,56908d9d-8d55-4631-a062-ec676fdb1468
Dana Gas,DANA,دانة غاز,,,,,,,,,,,,,f,,,,,1b3c2d6f-b265-40a2-8e6c-c3322403f407
Datang International,601991,大唐国际发电股份有限公司,,,,,,,,,,,,,f,,,,,427d4b32-8218-4994-b4a1-e8a853f716f3
Dawson Geophysical,DWSN,Dawson Geophysical Co,,,,,,,,,,,,,f,,,,,7270440c-55de-46a3-ba8d-e9e3ad6a35db
Dayang Enterprise Hldgs,5141,Dayang Enterprise Holdings Bhd,,,,,,,,,,,,,f,,,,,bf352521-703d-494d-bce8-3b46637a4dfe
DCC,DCC,DCC PLC,,,,,,,,,,,,,f,,,,,3f088798-73fd-41fb-9666-03de3dbdfad5
Deep Industries,543288,Deep Industries Ltd,,,,,,,,,,,,,f,,,,,d2c3d57d-fa76-4253-93a4-bf5414d2513d
Deep Value Driller,DVD,Deep Value Driller AS,,,,,,,,,,,,,f,,,,,3659e381-42c7-40c6-8420-2221a4f937ad
Delek Group,DLEKG,קבוצת דלק בע''מ,,,,,,,,,,,,,f,,,,,4399a03c-f14c-40a0-b9d7-e35521f4e80d
Delek Logistics Partners,DKL,Delek Logistics Partners LP,,,,,,,,,,,,,f,,,,,c97a7f9e-0df1-4b62-a375-43f916f59dc6
Delek US Hldgs,DK,Delek US Holdings Inc,,,,,,,,,,,,,f,,,,,cceffae5-eee3-41e9-a8d0-6138eb6e219c
Deleum,5132,Deleum Bhd,,,,,,,,,,,,,f,,,,,adc5731c-7bf0-4282-9f71-0a824eecf5e8
Desert Mountain Energy,DME,Desert Mountain Energy Corp,,,,,,,,,,,,,f,,,,,fff568f2-1288-49c2-8881-5f0d97535c32
Deutsche Rohstoff,DR0,Deutsche Rohstoff AG,,,,,,,,,,,,,f,,,,,efcce5a5-abdc-4b8f-a566-4f2233323583
Devon Energy,DVN,Devon Energy Corp,,,,,,,,,,,,,f,,,,,7d0e4ce1-768e-4ef5-adf3-592e011b2b2d
DHT Holdings,DHT,DHT Holdings Inc,,,,,,,,,,,,,f,,,,,db1e13d0-05d9-46dd-b4e0-a35bddf0c304
Dialog Gr,7277,Dialog Group Bhd,,,,,,,,,,,,,f,,,,,95d75bfd-ed63-4bfb-865e-5fd525361227
Diamond Offshore Drilling,DO,Diamond Offshore Drilling Inc,,,,,,,,,,,,,f,,,,,09a3cbd9-81d1-4e68-b636-a71cb7649040
Diamondback Energy,FANG,Diamondback Energy Inc,,,,,,,,,,,,,f,,,,,45432397-9e7e-46a1-a310-1ea524030011
Diversified Energy,DEC,Diversified Energy Co PLC,,,,,,,,,,,,,f,,,,,9950b6fc-b692-45b0-ad39-2a3f0e38b3d7
DMC Glb,BOOM,DMC Global Inc,,,,,,,,,,,,,f,,,,,f15048c2-b354-44ad-87e1-1ace4db2f132
DNO,DNO,DNO ASA,,,,,,,,,,,,,f,,,,,9bf191a3-2391-478b-8a7e-2c84a958ad9f
Dominion Energy,D,Dominion Energy Inc,,,,,,,,,,,,,f,,,,,58519dd3-ed1d-4a7a-afca-4e54f1f8f466
Dor Alon Energy,DRAL,"דור אלון אנרגיה בישראל בע""מ",,,,,,,,,,,,,f,,,,,76b731b3-0bef-4f1c-a077-f8d073964895
Dorchester Minerals,DMLP,Dorchester Minerals LP,,,,,,,,,,,,,f,,,,,b3c641b8-bd7a-47b0-8b4f-260485be808a
Dorian LPG,LPG,Dorian LPG Ltd,,,,,,,,,,,,,f,,,,,0f2e7fea-b44c-4267-b29a-15811620d290
Dow,DOW,Dow Inc,,,,,,,,,,,,,f,,,,,d15a3360-6610-46a0-b267-8ec6f81adbb1
Drax Group,DRX,Drax Group PLC,,,,,,,,,,,,,f,,,,,5736e6cd-83e6-43d2-be97-a7d70cb08264
Dril-Quip,DRQ,Dril-Quip Inc,,,,,,,,,,,,,f,,,,,b07034bc-7f9b-4508-8c56-bf5b16f131e5
Drilling Tools Intl,DTI,Drilling Tools International Corp,,,,,,,,,,,,,f,,,,,e4b424e7-ff8a-4576-ba4e-f919cfb13a60
DT Midstream,DTM,DT Midstream Inc,,,,,,,,,,,,,f,,,,,f9c7dc18-23ba-4b11-ad34-221a11933594
