Company,Symbol,Legal name
Par Pacific Hldgs,PARR,Par Pacific Holdings Inc
Paramount Resources,POU,Paramount Resources Ltd
Pardee Resources Co,PDER,Pardee Resources Co Inc
Parex Resources,PXT,Parex Resources Inc
Parker Drilling,PKDC,Parker Drilling Co
Parkland,PKI,Parkland Corp
Partners Gr Holding,PGHN,Partners Group Holding AG
Pason Sys,PSI,Pason Systems Inc
Patria Investments,PAX,Patria Investments Ltd
Patterson-UTI Energy,PTEN,Patterson-UTI Energy Inc
Paz Oil,PZOL,פז חברת הנפט בע''מ
PBF Energy,PBF,PBF Energy Inc
PEDEVCO,PED,PEDEVCO Corp
Pembina Pipeline,PPL,Pembina Pipeline Corp
Permian Basin Royalty,PBT,Permian Basin Royalty Trust
Permian Resources,PR,Permian Resources Corp
PermRock Royalty Trust,PRT,PermRock Royalty Trust
Petrobras Brasileiro,PETR3,Petroleo Brasileiro SA Petrobras
PetroChina Co,601857,中国石油天然气股份有限公司
Petrofac,PFC,Petrofac Ltd
Petron,PCOR,Petron Corp
Petron Malaysia Refining,3042,Petron Malaysia Refining & Marketing Bhd
