original_uuids,mapped_uuid
edc97f37-dcc9-47ff-9a40-b95f28a09a4c,edc97f37-dcc9-47ff-9a40-b95f28a09a4c
ad2dcbb3-b310-4012-b29c-c607d384bc73,ad2dcbb3-b310-4012-b29c-c607d384bc73
5864b2ed-8567-4180-8cb8-38b45174c2ac,5864b2ed-8567-4180-8cb8-38b45174c2ac
418cb7ff-afec-42b7-bd6b-ea0c682025c4,418cb7ff-afec-42b7-bd6b-ea0c682025c4
cf887cec-be98-486b-9333-65e2ef9bb2ed,cf887cec-be98-486b-9333-65e2ef9bb2ed
1600af38-10a3-4943-8c14-52e7f3fafec8,1600af38-10a3-4943-8c14-52e7f3fafec8
8e1ecfcd-0d77-44b8-aa9f-90b96bdad636,8e1ecfcd-0d77-44b8-aa9f-90b96bdad636
242cb004-16fc-49fa-ad36-101704960d76,242cb004-16fc-49fa-ad36-101704960d76
ae88c839-3489-4cce-81f2-eefbc65f00db,ae88c839-3489-4cce-81f2-eefbc65f00db
9f0436bc-345c-447f-857d-1dac48f91439,9f0436bc-345c-447f-857d-1dac48f91439
586dbca4-7413-4132-a29f-d491a0349bb1,586dbca4-7413-4132-a29f-d491a0349bb1
f2e00740-5738-4d93-b4fe-ee0d961ffb42,f2e00740-5738-4d93-b4fe-ee0d961ffb42
8609fffd-83a0-4168-bc65-31ff4569d113,8609fffd-83a0-4168-bc65-31ff4569d113
89e76279-a2d1-4b0a-9122-a9defa111e87,89e76279-a2d1-4b0a-9122-a9defa111e87
c62dbe36-749c-4fc1-b7f1-7ce1baa874df,c62dbe36-749c-4fc1-b7f1-7ce1baa874df
c7ce8669-66cf-46af-8532-6186c41bc239,c7ce8669-66cf-46af-8532-6186c41bc239
43f749b7-9c60-47c3-98d3-a8baa7ad77d6,43f749b7-9c60-47c3-98d3-a8baa7ad77d6
74af7897-846e-43d7-9a94-4dd6eb30e3b2,74af7897-846e-43d7-9a94-4dd6eb30e3b2
99e7bd98-a2b2-4857-9295-5c9ec9bcc563,99e7bd98-a2b2-4857-9295-5c9ec9bcc563
86232e52-9459-4114-b0a1-62815e10c024,86232e52-9459-4114-b0a1-62815e10c024
982f795a-e092-4292-a8e1-6cb4d6bc9a15,982f795a-e092-4292-a8e1-6cb4d6bc9a15
0a9efdb8-9b63-4e66-a672-98bc47881724,0a9efdb8-9b63-4e66-a672-98bc47881724
789f8c52-d284-47da-9215-be3bed5f6fba,789f8c52-d284-47da-9215-be3bed5f6fba
53a9ec76-a747-485b-936a-270886097a72,53a9ec76-a747-485b-936a-270886097a72
c43a9033-7870-4732-a91f-18f1531940a8,c43a9033-7870-4732-a91f-18f1531940a8
eef88b15-954a-47ae-bd79-249e5b27a071,eef88b15-954a-47ae-bd79-249e5b27a071
13af4aed-8ee9-414f-be3c-bb3b05060705,13af4aed-8ee9-414f-be3c-bb3b05060705
1f547df0-733c-4018-9e05-6568b63d4ece,1f547df0-733c-4018-9e05-6568b63d4ece
7b13d67d-9df2-44bc-8246-62a20a7ec75c,7b13d67d-9df2-44bc-8246-62a20a7ec75c
aa0bbaf0-e502-411d-84dd-bfcb8f05c3e7,aa0bbaf0-e502-411d-84dd-bfcb8f05c3e7
c2f999a6-f948-4159-a25f-ad4aff806557,c2f999a6-f948-4159-a25f-ad4aff806557
